profile,family,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
rough_terrain_0026,rough_terrain,15.093849,69.016255,13.196043,30.208980
mixed_terrain_0039,mixed_terrain,9.555436,76.685666,7.156053,22.933023
rough_terrain_0041,rough_terrain,25.825040,39.051178,23.856513,50.486088
flat_terrain_0028,flat_terrain,17.518909,21.320086,15.776007,30.861067
rough_terrain_0013,rough_terrain,18.471545,63.415207,17.084083,37.143064
flat_terrain_0080,flat_terrain,4.079720,79.263095,3.383074,7.917643
mixed_terrain_0025,mixed_terrain,22.002981,73.765298,15.037190,48.728647
rough_terrain_0097,rough_terrain,11.265794,75.553882,10.016572,22.199060
rough_terrain_0046,rough_terrain,6.229397,88.808509,4.651878,15.916266
flat_terrain_0005,flat_terrain,5.872755,74.783307,4.559630,10.763943
flat_terrain_0077,flat_terrain,5.785481,63.691410,5.273292,8.615278
rough_terrain_0014,rough_terrain,9.654281,82.874035,7.218577,21.938051
mixed_terrain_0070,mixed_terrain,8.431152,47.600102,7.479153,15.652938
flat_terrain_0060,flat_terrain,8.357023,68.552822,7.251479,16.341205
rough_terrain_0038,rough_terrain,14.777567,79.004847,12.287102,30.754030
rough_terrain_0087,rough_terrain,8.107261,81.934045,6.851113,15.576338
flat_terrain_0074,flat_terrain,3.762324,70.767852,3.578773,5.880660
mixed_terrain_0083,mixed_terrain,8.753939,65.210168,8.256742,15.818102
flat_terrain_0064,flat_terrain,4.756464,70.507028,3.892412,8.828917
mixed_terrain_0098,mixed_terrain,11.290717,66.655769,10.877999,18.613233
flat_terrain_0043,flat_terrain,5.842987,69.288845,5.234516,9.537080
flat_terrain_0070,flat_terrain,2.250135,88.993518,1.977965,3.863992
flat_terrain_0023,flat_terrain,7.257039,74.156715,5.868079,15.930785
mixed_terrain_0021,mixed_terrain,12.668035,61.758779,11.267482,23.126034
mixed_terrain_0035,mixed_terrain,11.417274,57.470798,11.056830,18.799381
rough_terrain_0025,rough_terrain,13.848311,59.618074,11.615842,31.252456
rough_terrain_0075,rough_terrain,10.664027,81.047963,8.385227,23.669139
flat_terrain_0039,flat_terrain,9.881110,61.768124,8.884011,18.645052
mixed_terrain_0091,mixed_terrain,18.290071,55.931678,15.980757,31.051791
mixed_terrain_0078,mixed_terrain,12.529091,59.767536,10.442371,20.093433
flat_terrain_0076,flat_terrain,9.590449,70.292389,7.691643,20.494349
rough_terrain_0066,rough_terrain,12.938280,72.699825,10.922392,27.418572
flat_terrain_0036,flat_terrain,9.911490,56.165879,9.194393,17.237619
rough_terrain_0045,rough_terrain,24.398228,48.179288,20.559727,39.734317
flat_terrain_0082,flat_terrain,6.392197,60.287075,6.124714,9.797640
rough_terrain_0039,rough_terrain,30.669750,40.842484,27.904378,47.961943
rough_terrain_0079,rough_terrain,21.087767,41.825311,17.331924,48.179036
flat_terrain_0044,flat_terrain,7.211286,62.495614,5.653197,13.569527
mixed_terrain_0045,mixed_terrain,12.473654,67.000029,10.552956,22.725034
rough_terrain_0067,rough_terrain,5.341042,90.493310,3.860306,13.923791
mixed_terrain_0082,mixed_terrain,15.265906,58.840973,13.481488,22.560113
rough_terrain_0060,rough_terrain,13.491847,62.632357,9.996995,30.370271
mixed_terrain_0041,mixed_terrain,5.723994,83.670932,4.685510,12.209637
flat_terrain_0091,flat_terrain,5.221441,76.213297,4.438442,9.427065
flat_terrain_0022,flat_terrain,4.477400,70.800879,4.016593,7.520990
