profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23,spring_24,spring_25,spring_26,spring_27,spring_28,spring_29
low_roughness_0160,low_roughness,85.0,85.0,100.0,100.0,903.5640869140625,0.0006077148136682808,3.279853582382202,403.5585021972656,0.0014565909514203668,225.50209045410156,0.00025040327454917133,943.500732421875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,951.8396606445312,0.00040945629007183015,7.122656370484037e-06,0.0003023895260412246,832.1207885742188,1.530650661152322e-05
high_roughness_0212,high_roughness,85.0,85.0,100.0,100.0,114.01329803466797,59.80673599243164,45.349266052246094,53.9683723449707,33.27861785888672,28.81501579284668,55.59923553466797,131.45242309570312,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,154.90484619140625,143.08642578125,0.0044757286086678505,20.745588302612305,135.5339813232422,0.004442961886525154
high_roughness_0142,high_roughness,85.0,85.0,100.0,100.0,0.00012025028991047293,1096.270751953125,5.072807471151464e-05,282.9787292480469,0.0019118504133075476,3.2105166610563174e-05,1271.7113037109375,7.760333573969547e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1.5642730431864038e-05,1497.6541748046875,374.8055419921875,1281.6949462890625,3.438771818764508e-05,4.839783287025057e-05
low_roughness_0220,low_roughness,85.0,85.0,100.0,100.0,784.9154052734375,0.000483052950585261,0.00047382587217725813,351.4944152832031,0.003579693613573909,0.0004520616203080863,0.0005803942331112921,860.1436157226562,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,873.6577758789062,631.4495239257812,3.601648495532572e-05,0.0006380768027156591,754.2698364257812,7.541836384916678e-05
low_roughness_0215,low_roughness,85.0,85.0,100.0,100.0,0.0005053927889093757,734.9344482421875,395.3719482421875,0.00041592775960452855,0.00036630104295909405,0.014956245198845863,833.5095825195312,0.0007833290728740394,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.0008461588295176625,633.7598876953125,3.94412963942159e-05,849.7013549804688,814.3997192382812,9.528297960059717e-05
medium_roughness_0068,medium_roughness,85.0,85.0,100.0,100.0,0.006451761350035667,0.003971860744059086,0.003913204185664654,0.0053245010785758495,0.004630029201507568,0.0035777310840785503,342.0502014160156,397.9906921386719,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,426.9914245605469,415.0144958496094,0.0018945119809359312,359.90252685546875,354.17462158203125,0.0018754025222733617
low_roughness_0291,low_roughness,85.0,85.0,100.0,100.0,4.1816121665760875e-05,0.00010486957035027444,5.68433606531471e-05,935.0620727539062,1.503049612045288,3.915411434718408e-05,1345.6431884765625,283.9178771972656,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,741.1675415039062,1301.6204833984375,1.113105008698767e-05,1381.811767578125,1.0318830391042866e-05,1.1604731298575643e-05
medium_roughness_0170,medium_roughness,85.0,85.0,100.0,100.0,0.00039619821473024786,0.00026760969194583595,0.00014677643775939941,0.0027084811590611935,351.2220458984375,0.0001426706585334614,1224.0394287109375,509.81146240234375,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,650.6041870117188,1129.3167724609375,262.591796875,1239.6788330078125,3.942591501981951e-05,0.0002803828101605177
low_roughness_0079,low_roughness,85.0,85.0,100.0,100.0,1094.8798828125,1214.5977783203125,31.997264862060547,0.018537946045398712,2.2462087144958787e-05,1.4144094166113064e-05,2.2863727281219326e-05,1.926439108501654e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,3.280050077592023e-05,8.700188118382357e-06,7.101745268300874e-06,3.515242860885337e-05,3.729106538230553e-05,6.890203621878754e-06
high_roughness_0381,high_roughness,85.0,85.0,100.0,100.0,302.8507080078125,0.0015588074456900358,0.0006474766996689141,327.9017639160156,0.0007712526130490005,0.00032072336762212217,494.18524169921875,109.63190460205078,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,333.9588928222656,795.4490966796875,7.908383850008249e-05,628.0166625976562,0.0001934272440848872,8.727481326786801e-05
low_roughness_0204,low_roughness,85.0,85.0,100.0,100.0,0.0008441511308774352,319.3515319824219,0.0010596330976113677,0.0016538166673853993,229.4663848876953,0.00045202518231235445,376.0619812011719,72.16717529296875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,21.413602828979492,0.01949593797326088,0.00036101631121709943,514.2655029296875,40.688716888427734,0.014042445458471775
medium_roughness_0246,medium_roughness,85.0,85.0,100.0,100.0,1078.3577880859375,0.00030088896164670587,0.00013055630552116781,159.6239471435547,2.0621969269996043e-06,5.497774691320956e-05,6.971765833441168e-05,0.0005502628046087921,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,308.2121276855469,739.117431640625,1.0004312571254559e-05,0.00014045918942429125,3.580224438337609e-05,1.0984617802023422e-05
