profile,family,roughness_score,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
rough_terrain_0033,rough_terrain,0.613381,11.221504,84.789245,8.603222,47.174482
flat_terrain_0000,flat_terrain,0.296034,11.619496,56.314023,9.434189,35.404322
mixed_terrain_0075,mixed_terrain,0.554188,23.136452,79.684288,18.809416,56.941657
mixed_terrain_0072,mixed_terrain,0.550841,24.267525,80.342721,20.165049,64.218630
flat_terrain_0046,flat_terrain,0.420240,8.532081,83.888825,6.964287,21.620975
flat_terrain_0045,flat_terrain,0.419732,8.145018,75.845652,6.269298,33.326497
flat_terrain_0075,flat_terrain,0.452571,17.648444,77.266295,14.472766,36.135131
rough_terrain_0010,rough_terrain,0.584967,19.844963,-57.021005,15.787997,46.931702
flat_terrain_0005,flat_terrain,0.312050,11.474113,38.014040,9.661515,31.451542
rough_terrain_0018,rough_terrain,0.596056,5.949030,69.963943,4.656104,17.329336
rough_terrain_0044,rough_terrain,0.626647,13.688390,79.683501,11.369613,30.319330
flat_terrain_0079,flat_terrain,0.458648,8.401781,89.682840,6.851061,24.829349
mixed_terrain_0052,mixed_terrain,0.532426,15.426322,85.539270,13.018773,32.557037
mixed_terrain_0021,mixed_terrain,0.501244,10.149107,91.451623,8.551658,24.507318
rough_terrain_0036,rough_terrain,0.616642,12.837202,74.247227,10.577306,35.333573
mixed_terrain_0055,mixed_terrain,0.534156,14.980738,54.330843,12.613348,35.565711
mixed_terrain_0066,mixed_terrain,0.548835,11.998892,81.653656,9.423087,46.493467
mixed_terrain_0099,mixed_terrain,0.576222,7.167979,83.741678,5.347725,25.127335
rough_terrain_0072,rough_terrain,0.686180,23.321843,82.188806,19.128213,71.875490
flat_terrain_0015,flat_terrain,0.351019,15.386628,66.632627,10.452719,55.781521
flat_terrain_0086,flat_terrain,0.466965,12.928395,85.297087,10.882838,37.701830
mixed_terrain_0031,mixed_terrain,0.506789,9.127311,71.439537,6.793346,21.828779
rough_terrain_0090,rough_terrain,0.728729,4.222329,76.490758,3.322317,10.725106
rough_terrain_0095,rough_terrain,0.755694,16.952744,67.973609,14.821771,44.417630
rough_terrain_0065,rough_terrain,0.675404,4.808863,69.190385,3.724653,15.653784
flat_terrain_0011,flat_terrain,0.344251,7.155634,73.780828,5.503713,25.013073
rough_terrain_0037,rough_terrain,0.616983,12.097825,86.334909,9.769341,34.745718
flat_terrain_0014,flat_terrain,0.350474,12.904745,51.195773,11.084794,26.641580
rough_terrain_0054,rough_terrain,0.644622,29.397002,78.281203,21.953294,89.862841
flat_terrain_0096,flat_terrain,0.479061,15.973292,83.031757,12.942532,66.107859
mixed_terrain_0027,mixed_terrain,0.504975,18.191972,80.378606,14.094845,94.982496
rough_terrain_0011,rough_terrain,0.588310,9.281828,81.509619,7.636761,20.702038
rough_terrain_0071,rough_terrain,0.684959,24.228192,78.349483,19.328224,79.095312
flat_terrain_0073,flat_terrain,0.450352,11.248423,67.524228,8.913491,29.625187
flat_terrain_0099,flat_terrain,0.480714,10.875290,80.909713,9.253127,35.882725
rough_terrain_0098,rough_terrain,0.775569,16.031304,80.785748,12.530087,90.644148
mixed_terrain_0092,mixed_terrain,0.571401,7.766556,80.841256,5.814087,21.107650
mixed_terrain_0024,mixed_terrain,0.503613,11.995195,84.281150,9.606888,53.299998
flat_terrain_0037,flat_terrain,0.404298,5.751216,83.979604,4.642139,18.639338
rough_terrain_0074,rough_terrain,0.687313,25.914854,75.202513,21.153730,88.857895
flat_terrain_0071,flat_terrain,0.446729,28.271395,79.430983,22.573208,77.012685
flat_terrain_0048,flat_terrain,0.420694,17.348481,58.108140,13.776427,34.597687
mixed_terrain_0034,mixed_terrain,0.511006,5.483575,71.839035,4.335030,14.380817
rough_terrain_0035,rough_terrain,0.615450,13.722263,70.562071,10.700490,64.216735
